31,38,28,5,11
4,3,31,22,23
42,18,44,15,45
13,45,24,10,14
33,45,5,16,39
43,40,26,4,23
31,32,22,24,7
21,19,14,22,2
40,45,13,44,18
40,21,8,14,26
31,11,21,34,35
32,30,39,27,9
38,42,8,37,33
43,42,34,16,7
43,37,3,45,22
4,26,40,15,23
35,4,34,25,30
45,39,17,30,22
33,23,26,21,27
15,27,14,33,31
9,5,2,38,34
31,39,28,15,18
44,12,23,4,34
38,36,25,29,15
23,6,25,3,28
22,36,20,28,37
12,10,9,3,6
31,7,19,10,18
22,37,17,28,10
42,17,39,2,9
39,31,21,41,32
27,34,1,3,6
16,29,40,31,30
6,35,16,29,28
10,32,38,2,31
36,26,24,39,29
26,30,16,42,13
14,17,1,28,12
41,1,23,22,7
4,3,24,27,37
26,23,37,41,5
15,45,11,16,8
40,26,27,44,36
30,33,21,40,7
7,6,16,38,39
10,8,1,27,28
4,21,7,5,14
32,31,30,20,12
31,4,38,10,37
15,25,30,23,26
2,36,37,45,9
5,30,43,16,1
4,10,26,7,9
22,8,3,42,5
43,35,29,32,30
21,4,3,39,7
8,4,29,20,18
36,21,10,31,22
38,12,39,17,6
43,40,35,27,42
44,22,15,13,31
34,12,40,30,23
5,36,23,27,44
29,17,40,13,26
23,2,14,36,18
18,43,32,35,13
6,2,5,34,35
7,43,12,30,19
19,31,26,38,7
5,20,11,38,9
18,8,35,20,13
23,24,35,5,37
19,5,12,14,15
42,26,3,14,1
1,44,9,39,13
30,3,25,5,6
30,33,32,15,31
35,30,14,37,19
16,22,20,34,8
6,40,8,31,26
27,34,22,38,43
8,30,19,9,26
21,41,11,33,44
12,39,11,22,21
12,37,6,23,44
22,9,15,44,39
9,34,16,22,8
38,44,32,4,2
3,24,44,41,43
33,4,13,10,17
35,43,42,6,45
22,14,16,1,20
27,35,6,44,17
45,21,20,36,35
5,22,10,36,27
10,17,14,1,11
19,26,17,1,23
3,12,16,41,7
44,37,6,13,1
14,28,11,35,12
7,18,20,30,39
2,45,34,15,42
31,39,20,22,35
26,5,44,43,3
31,21,11,19,8
15,38,14,5,17
36,29,39,23,15
21,34,1,37,2
14,28,42,1,11
35,36,32,30,18
14,22,43,19,29
43,28,30,27,41
24,23,16,36,10
31,42,40,44,16
37,3,9,16,25
38,44,29,11,16
18,5,40,37,7
29,42,21,25,33
24,11,36,34,19
2,10,19,23,17
4,10,35,41,27
23,6,7,45,17
25,2,43,40,8
9,12,28,31,19
34,32,42,35,24
6,25,37,9,17
20,22,45,38,3
8,23,12,7,16
34,31,3,29,14
28,8,11,42,5
41,10,31,19,1
23,5,34,29,15
6,5,44,8,11
30,10,1,29,5
8,40,18,7,38
5,44,3,10,7
17,19,35,26,27
25,42,5,41,19
11,37,24,31,15
26,24,3,8,15
20,10,42,7,15
44,25,9,43,23
8,29,11,7,30
4,12,37,9,10
8,16,21,19,10
12,37,17,22,15
41,42,31,17,38
33,16,13,20,4
27,34,28,22,1
23,30,40,5,45
41,9,3,16,6
4,2,40,31,16
6,14,37,3,39
40,38,31,33,14
7,37,3,35,9
34,14,1,37,27
26,29,4,43,8
27,44,37,8,9
1,4,37,33,14
44,38,42,2,41
39,31,15,40,23
45,38,26,41,5
